Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
-	R1	ECO	SO2	3_end	456	42.135349	-1.871122	Tempranillo	02/09/2020	1095	3.48	0.29	0	80.58	7.09	9.04	1.53	30	9.58	0.48	0	1.6	3.01	2.00E+05	1.20E+08	19	0.684637551	0.19	144	Rioja
-	R2	CONV	Control	3_end	576	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.3	0	95.89	8.15	1.43	1.45	23	9.28	0.47	0.29	1.12	3.04	1.86E+06	4.00E+07	24	0.50833098	0.13	144	Rioja
-	R2	CONV	18C	3_end	792	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.11	21	99.11	5.56	7.53	1.49	22	9.74	0.36	0.06	1.19	3.12	1.56E+06	4.00E+07	33	0.485506799	0.12	144	Rioja
-	R2	CONV	NH4	3_end	456	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.26	205	103.22	7.53	13.96	1.24	54	8.12	0	0.14	0.26	2.73	1.64E+06	4.00E+07	19	0.658515571	0.15	144	Rioja
-	R2	CONV	SO2	3_end	480	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.03	15	35.46	9.26	0.05	4.13	16	12.98	1.02	0.3	1.76	2.85	0.00E+00	4.92E+07	20	0.642884973	0.21	96	Rioja
-	R2	ECO	Control	3_end	744	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0.21	0	120.08	7.1	8.2	1.16	28	8.29	0.24	0.22	1.25	3.17	NA	4.00E+07	31	0.61878313	0.1	96	Rioja
-	R2	ECO	18C	3_end	960	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0.31	7	113.52	6.55	2.18	1.32	17	8.36	0.13	0.17	1.09	2.98	7.12E+06	3.16E+07	40	0.422908601	0.07	264	Rioja
-	R2	ECO	NH4	3_end	456	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0.18	155	103.93	6.76	9.21	1.22	41	8.04	0	0.25	0.41	2.87	1.40E+06	4.00E+07	19	0.850932951	0.17	144	Rioja
-	R2	ECO	SO2	3_end	744	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0.23	11	106.83	7.46	5.73	1.28	21	8.42	0.37	0.27	1.44	3	1.60E+06	2.00E+07	31	0.421685396	0.1	312	Rioja
-	R3A	CONV	Control	3_end	960	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0.25	6	72.05	8.75	0.76	1.46	24	11.21	0.5	0.12	2.21	3.38	6.13E+05	9.20E+07	40	0.420768992	0.1	96	Rioja
-	R3A	CONV	NH4	3_end	576	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0.32	201	87.13	6.3	8.14	1.5	35	9.86	0	0.15	0.7	3.2	1.31E+06	8.00E+07	24	1.085667553	0.14	144	Rioja
-	R3A	CONV	SO2	3_end	768	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0.27	14	99.06	7.26	0.07	2.29	16	8.97	0.06	0.29	1.59	3.21	2.34E+05	6.00E+07	32	0.398744379	0.09	144	Rioja
-	R3A	ECO	Control	3_end	456	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0.24	11	102.05	5.82	8.87	1.12	25	8.64	0.4	0.04	1.05	2.99	8.28E+05	4.40E+07	19	0.649283083	0.16	96	Rioja
-	R3A	ECO	18C	3_end	672	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0.31	18	96.24	6.17	9.52	0.99	12	9.1	0.19	0	1.07	2.98	4.32E+05	4.00E+07	28	0.569352897	0.11	144	Rioja
-	R3A	ECO	NH4	3_end	456	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0.42	227	92.4	5.59	0.72	1.9	39	9.61	0.64	0	0.33	3.56	6.60E+05	4.00E+07	19	0.493243803	0.17	96	Rioja
-	R3A	ECO	SO2	3_end	456	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0.28	15	98.5	7.01	14.38	1.12	22	8.46	0	0	1.1	2.78	1.72E+05	8.00E+07	19	0.623033743	0.16	96	Rioja
-	R3B	CONV	Control	3_end	1128	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0.55	8	18.56	9.48	3.54	1.23	19	13.56	0.3	0	1.61	3.13	4.56E+06	8.00E+07	47	0.529975313	0.1	144	Rioja
