Seq_ID	Origin	Farming	Condition	Region	Stage	Time	Latitude	Longitude	Variety	Must_density	pH_must initial	Sugars	Ammonia	PAN	Malic_acid	Acetic_acid	Glycerol	Lactic_acid	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average
ITS-72	R3C	CONV	Control	La Rioja	T0	0	42.1399912	-1.8824665	Tempranillo	1098	3.65	244.82	9	41	1.69	0	0	0	12000	40000000	19	0.515942627	5.139937705
ITS-144	R3C	CONV	Control	La Rioja	T1	144	42.1399912	-1.8824665	Tempranillo	1098	3.65	173.45	34	18	1.72	0.03	4.84	3.9	20100000	40000000	19	0.515942627	5.139937705
ITS-215	R3C	CONV	Control	La Rioja	T2	336	42.1399912	-1.8824665	Tempranillo	1098	3.65	104.65	0	23	1.38	0.2	6.62	10.87	1700000	40000000	19	0.515942627	5.139937705
ITS-90	R3C	CONV	18C	La Rioja	T0	0	42.1399912	-1.8824665	Tempranillo	1098	3.65	242.17	36	46	1.86	0	0	0	1200	80000000	47	0.585050646	2.05025728
ITS-161	R3C	CONV	18C	La Rioja	T1	336	42.1399912	-1.8824665	Tempranillo	1098	3.65	175.62	21	23	1.67	0.1	4.68	3.68	15600000	80000000	47	0.585050646	2.05025728
ITS-231	R3C	CONV	18C	La Rioja	T2	672	42.1399912	-1.8824665	Tempranillo	1098	3.65	90.72	0	9	1.07	0.27	6.68	8.16	2770000	80000000	47	0.585050646	2.05025728
ITS-108	R3C	CONV	NH4	La Rioja	T0	0	42.1399912	-1.8824665	Tempranillo	1098	3.65	226.04	313	68	1.99	0	0	0	300	136000000	21	0.750543569	4.629936972
ITS-179	R3C	CONV	NH4	La Rioja	T1	120	42.1399912	-1.8824665	Tempranillo	1098	3.65	161.54	326	30	1.32	0.18	4.82	13.68	31800000	136000000	21	0.750543569	4.629936972
ITS-249	R3C	CONV	NH4	La Rioja	T2	336	42.1399912	-1.8824665	Tempranillo	1098	3.65	115.86	187	40	1.22	0.27	6.39	16.77	55800	136000000	21	0.750543569	4.629936972
ITS-126	R3C	CONV	SO2	La Rioja	T0	0	42.1399912	-1.8824665	Tempranillo	1098	3.65	238.85	20	48	1.91	0	0	0	280	49600000	27	0.616868307	3.577493984
ITS-197	R3C	CONV	SO2	La Rioja	T1	192	42.1399912	-1.8824665	Tempranillo	1098	3.65	169.02	35	21	1.74	0.21	6.45	0.11	19400000	49600000	27	0.616868307	3.577493984
ITS-267	R3C	CONV	SO2	La Rioja	T2	576	42.1399912	-1.8824665	Tempranillo	1098	3.65	90.53	15	14	1.3	0.24	8.42	4.15	936000	49600000	27	0.616868307	3.577493984
ITS-71	R3C	ECO	Control	La Rioja	T0	0	42.12286064	-1.886675892	Tempranillo	1098	3.57	245.57	9	37	1.61	0	0	0	0	40000000	24	0.526495289	4.025732699
ITS-143	R3C	ECO	Control	La Rioja	T1	120	42.12286064	-1.886675892	Tempranillo	1098	3.57	187.24	40	26	1.56	0.19	6.96	1.06	33600000	40000000	24	0.526495289	4.025732699
ITS-214	R3C	ECO	Control	La Rioja	T2	432	42.12286064	-1.886675892	Tempranillo	1098	3.57	94.75	0	10	1.33	0.36	8.84	1.35	1110000	40000000	24	0.526495289	4.025732699
ITS-89	R3C	ECO	18C	La Rioja	T0	0	42.12286064	-1.886675892	Tempranillo	1098	3.57	249.73	30	44	1.74	0	0	0	0	80000000	21	0.418142254	4.598910076
ITS-160	R3C	ECO	18C	La Rioja	T1	264	42.12286064	-1.886675892	Tempranillo	1098	3.57	175.1	40	5	1.78	0.16	6.5	0.41	12000000	80000000	21	0.418142254	4.598910076
ITS-230	R3C	ECO	18C	La Rioja	T2	600	42.12286064	-1.886675892	Tempranillo	1098	3.57	104.39	0	23	1.58	0.4	8.41	0.49	538000	80000000	21	0.418142254	4.598910076
ITS-107	R3C	ECO	NH4	La Rioja	T0	0	42.12286064	-1.886675892	Tempranillo	1098	3.57	237.62	334	58	1.71	0	0	0	0	12000000	21	0.981370592	4.602631803
ITS-178	R3C	ECO	NH4	La Rioja	T1	96	42.12286064	-1.886675892	Tempranillo	1098	3.57	138.65	232	30	1.41	0.21	6.94	2.16	59600000	12000000	21	0.981370592	4.602631803
ITS-248	R3C	ECO	NH4	La Rioja	T2	408	42.12286064	-1.886675892	Tempranillo	1098	3.57	102.01	133	32	1.33	0.33	7.92	2.58	10400	12000000	21	0.981370592	4.602631803
ITS-125	R3C	ECO	SO2	La Rioja	T0	0	42.12286064	-1.886675892	Tempranillo	1098	3.57	246.46	5	38	1.83	0	0	0	0	160000000	40	0.510951962	2.429699664
ITS-196	R3C	ECO	SO2	La Rioja	T1	168	42.12286064	-1.886675892	Tempranillo	1098	3.57	170.64	39	20	1.71	0.17	7.02	0.12	49600000	160000000	40	0.510951962	2.429699664
ITS-266	R3C	ECO	SO2	La Rioja	T2	432	42.12286064	-1.886675892	Tempranillo	1098	3.57	127.78	0	27	1.73	0.35	8.02	0.16	854000	160000000	40	0.510951962	2.429699664
ITS-56	RdG	CONV	Control	Ribera del Guadiana	T0	0			Garnacha	1091	3.45	235.91	162	168	0.43	0	0	0	116000	228000000	20	0.8681635	4.796362364
ITS-127	RdG	CONV	Control	Ribera del Guadiana	T1	140			Garnacha	1091	3.45	137.6	92	110	0.63	0.69	5.87	0.03	269333333	228000000	20	0.8681635	4.796362364
ITS-199	RdG	CONV	Control	Ribera del Guadiana	T2	267			Garnacha	1091	3.45	1.28	141	140	0.43	1.19	9.08	0.04	95333333	228000000	20	0.8681635	4.796362364
ITS-74	RdG	CONV	18C	Ribera del Guadiana	T0	0			Garnacha	1091	3.45	232.54	186	172	0.48	0	0	0	140000	308000000	33	0.378872853	2.922198421
ITS-145	RdG	CONV	18C	Ribera del Guadiana	T1	290			Garnacha	1091	3.45	149.05	157	84	1.27	0.3	5.1	0.02	272000000	308000000	33	0.378872853	2.922198421
ITS-92	RdG	CONV	NH4	Ribera del Guadiana	T0	0			Garnacha	1091	3.45	217.57	522	220	0.47	0	0	0	132000	264000000	24	0.945939873	3.991905168
ITS-162	RdG	CONV	NH4	Ribera del Guadiana	T1	140			Garnacha	1091	3.45	132.31	443	136	0.64	0.68	6.06	0.05	176000000	264000000	24	0.945939873	3.991905168
ITS-233	RdG	CONV	NH4	Ribera del Guadiana	T2	267			Garnacha	1091	3.45	1.06	233	190	0.45	0.97	8.72	0.01	141333333	264000000	24	0.945939873	3.991905168
ITS-110	RdG	CONV	SO2	Ribera del Guadiana	T0	0			Garnacha	1091	3.45	226.03	161	169	0.46	0	0	0	8000	280000000	30	1.315722372	3.180610438
ITS-180	RdG	CONV	SO2	Ribera del Guadiana	T1	290			Garnacha	1091	3.45	144.03	100	117	0.64	0.58	5.23	0.03	400000000	280000000	30	1.315722372	3.180610438
ITS-251	RdG	CONV	SO2	Ribera del Guadiana	T2	447			Garnacha	1091	3.45	0.42	139	110	0.42	0.86	8.37	0.01	17120000	280000000	30	1.315722372	3.180610438
ITS-55	RdG	ECO	Control	Ribera del Guadiana	T0	0	38.7878	-6.14729	Tempranillo	1096	3.91	243.03	20	68	1.92	0	0	0	24400	356000000	22	3.432846937	4.389416048
ITS-128	RdG	ECO	Control	Ribera del Guadiana	T1	72	38.7878	-6.14729	Tempranillo	1096	3.91	154.28	35	10	2.54	0.04	5.92	0.65	440000000	356000000	22	3.432846937	4.389416048
ITS-198	RdG	ECO	Control	Ribera del Guadiana	T2	336	38.7878	-6.14729	Tempranillo	1096	3.91	69.78	8	26	1.42	0.34	7.87	0.54	325733333	356000000	22	3.432846937	4.389416048
ITS-73	RdG	ECO	18C	Ribera del Guadiana	T0	0	38.7878	-6.14729	Tempranillo	1096	3.91	248.17	14	70	1.97	0	0	0	20400	148000000	30	0.537790373	3.224327818
ITS-146	RdG	ECO	18C	Ribera del Guadiana	T1	192	38.7878	-6.14729	Tempranillo	1096	3.91	149.57	16	16	2.56	0.05	6.35	1.57	135600000	148000000	30	0.537790373	3.224327818
ITS-216	RdG	ECO	18C	Ribera del Guadiana	T2	471	38.7878	-6.14729	Tempranillo	1096	3.91	59.98	10	23	1.59	0.24	7.94	1.45	81200000	148000000	30	0.537790373	3.224327818
ITS-91	RdG	ECO	NH4	Ribera del Guadiana	T0	0	38.7878	-6.14729	Tempranillo	1096	3.91	234.13	350	115	2.06	0	0	0	14800	280000000	20	1.169838511	4.829357573
ITS-163	RdG	ECO	NH4	Ribera del Guadiana	T1	72	38.7878	-6.14729	Tempranillo	1096	3.91	131.44	130	29	2.07	0.22	5.55	1.89	195000000	280000000	20	1.169838511	4.829357573
ITS-232	RdG	ECO	NH4	Ribera del Guadiana	T2	336	38.7878	-6.14729	Tempranillo	1096	3.91	64.37	222	68	1.67	0.41	7.31	1.85	800000	280000000	20	1.169838511	4.829357573
ITS-109	RdG	ECO	SO2	Ribera del Guadiana	T0	0	38.7878	-6.14729	Tempranillo	1096	3.91	247.86	14	71	1.98	0	0	0	14400	48000000	22	0.730083745	4.390769895
ITS-181	RdG	ECO	SO2	Ribera del Guadiana	T1	164	38.7878	-6.14729	Tempranillo	1096	3.91	147.76	4	14	2.34	0.03	5.52	4.73	28000000	48000000	22	0.730083745	4.390769895
ITS-250	RdG	ECO	SO2	Ribera del Guadiana	T2	375	38.7878	-6.14729	Tempranillo	1096	3.91	71.54	12	28	1.37	0.18	7.6	4.77	4506666	48000000	22	0.730083745	4.390769895
ITS-62	VLP	CONV	Control	Valdepenas	T0	0	38.815116	-3.391011	Tempranillo	1084	3.79	190.39	45	110	1.52	0	0	0	1060000	32000000	20	0.986211099	4.775562117
ITS-134	VLP	CONV	Control	Valdepenas	T1	72	38.815116	-3.391011	Tempranillo	1084	3.79	120.38	36	19	1.86	0.04	5.74	0.03	19200000	32000000	20	0.986211099	4.775562117
ITS-205	VLP	CONV	Control	Valdepenas	T2	168	38.815116	-3.391011	Tempranillo	1084	3.79	0.02	24	34	1.75	0.7	8.92	0	23400000	32000000	20	0.986211099	4.775562117
ITS-80	VLP	CONV	18C	Valdepenas	T0	0	38.815116	-3.391011	Tempranillo	1084	3.79	191.2	41	106	1.47	0	0	0	0	160000000	20	0.438466427	4.797300851
ITS-152	VLP	CONV	18C	Valdepenas	T1	120	38.815116	-3.391011	Tempranillo	1084	3.79	129.62	17	19	1.73	0.03	4.74	0.06	22000000	160000000	20	0.438466427	4.797300851
ITS-222	VLP	CONV	18C	Valdepenas	T2	336	38.815116	-3.391011	Tempranillo	1084	3.79	0.19	18	21	2.19	0.14	8.11	0.01	30000000	160000000	20	0.438466427	4.797300851
ITS-98	VLP	CONV	NH4	Valdepenas	T0	0	38.815116	-3.391011	Tempranillo	1084	3.79	193.94	339	127	1.51	0	0	0	868000	36000000	20	1.61839101	4.775902972
ITS-169	VLP	CONV	NH4	Valdepenas	T1	72	38.815116	-3.391011	Tempranillo	1084	3.79	126.05	195	75	1.87	0.07	5.31	0.04	12200000	36000000	20	1.61839101	4.775902972
ITS-239	VLP	CONV	NH4	Valdepenas	T2	144	38.815116	-3.391011	Tempranillo	1084	3.79	0.02	28	72	1.47	0.59	9.98	0.01	27000000	36000000	20	1.61839101	4.775902972
ITS-116	VLP	CONV	SO2	Valdepenas	T0	0	38.815116	-3.391011	Tempranillo	1084	3.79	205.61	42	107	1.49	0	0	0	974000	240000000	21	1.307732226	4.543703177
ITS-187	VLP	CONV	SO2	Valdepenas	T1	72	38.815116	-3.391011	Tempranillo	1084	3.79	100.12	12	26	1.71	0.09	7.47	0.06	102000000	240000000	21	1.307732226	4.543703177
ITS-257	VLP	CONV	SO2	Valdepenas	T2	144	38.815116	-3.391011	Tempranillo	1084	3.79	0.08	11	46	1.66	0.08	9.66	0.02	147000000	240000000	21	1.307732226	4.543703177
ITS-61	VLP	ECO	Control	Valdepenas	T0	0	38.815643	-3.3908634	Tempranillo	1094	3.78	224.78	60	129	1.15	0	0	0	396000	84000000	20	1.289877027	4.705688726
ITS-133	VLP	ECO	Control	Valdepenas	T1	72	38.815643	-3.3908634	Tempranillo	1094	3.78	123.94	37	23	1.27	0.06	6.64	0.04	70800000	84000000	20	1.289877027	4.705688726
ITS-204	VLP	ECO	Control	Valdepenas	T2	168	38.815643	-3.3908634	Tempranillo	1094	3.78	0.03	30	40	1.38	0.09	9.82	0.01	52400000	84000000	20	1.289877027	4.705688726
ITS-79	VLP	ECO	18C	Valdepenas	T0	0	38.815643	-3.3908634	Tempranillo	1094	3.78	237.14	56	124	1.27	0	0	0	396000	120000000	21	0.653838196	4.529627271
ITS-151	VLP	ECO	18C	Valdepenas	T1	120	38.815643	-3.3908634	Tempranillo	1094	3.78	156.52	19	26	1.2	0.05	4.67	0.03	68600000	120000000	21	0.653838196	4.529627271
ITS-221	VLP	ECO	18C	Valdepenas	T2	336	38.815643	-3.3908634	Tempranillo	1094	3.78	0.18	14	27	1.64	0.07	9.31	0.02	24800000	120000000	21	0.653838196	4.529627271
ITS-97	VLP	ECO	NH4	Valdepenas	T0	0	38.815643	-3.3908634	Tempranillo	1094	3.78	226.26	360	149	1	0	0	0	0	88000000	20	1.481811102	4.732936939
ITS-168	VLP	ECO	NH4	Valdepenas	T1	72	38.815643	-3.3908634	Tempranillo	1094	3.78	124.6	53	59	1.12	0.08	7.11	0.05	86900000	88000000	20	1.481811102	4.732936939
ITS-238	VLP	ECO	NH4	Valdepenas	T2	144	38.815643	-3.3908634	Tempranillo	1094	3.78	0.04	26	108	0.74	0.18	9.99	0	32500000	88000000	20	1.481811102	4.732936939
ITS-115	VLP	ECO	SO2	Valdepenas	T0	0	38.815643	-3.3908634	Tempranillo	1094	3.78	240.3	45	123	1.16	0	0	0	0	160000000	20	1.446842029	4.718755367
ITS-186	VLP	ECO	SO2	Valdepenas	T1	72	38.815643	-3.3908634	Tempranillo	1094	3.78	117.32	21	29	1.27	0.1	7.26	0.05	87400000	160000000	20	1.446842029	4.718755367
ITS-256	VLP	ECO	SO2	Valdepenas	T2	144	38.815643	-3.3908634	Tempranillo	1094	3.78	0.13	16	50	1.22	0.12	9.73	0.04	113000000	160000000	20	1.446842029	4.718755367
