Seq_ID	Origin	Farming	Condition	Region	Stage	Time	Latitude	Longitude	Variety	Must_density	pH_must initial	Sugars	Ammonia	PAN	Malic_acid	Acetic_acid	Glycerol	Lactic_acid	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average
ITS-165	M	CONV	NH4	Madrid	T1	168	40.0997	-3.390333	Tempranillo	1111	3.74	193.81	285	57	1.89	0.39	4.23	0.05	5800000	120000000	20	0.53412945	4.853309583
ITS-235	M	CONV	NH4	Madrid	T2	360	40.0997	-3.390333	Tempranillo	1111	3.74	168.6	232	68	1.6	0.47	5.01	0.04	0	120000000	20	0.53412945	4.853309583
ITS-112	M	CONV	SO2	Madrid	T0	0	40.0997	-3.390333	Tempranillo	1111	3.74	251.16	46	97	1.4	0	0	0	NA	44000000	32	0.538072372	3.037939463
ITS-183	M	CONV	SO2	Madrid	T1	384	40.0997	-3.390333	Tempranillo	1111	3.74	205.73	7	41	1.51	0.47	5.53	0.06	16800000	44000000	32	0.538072372	3.037939463
ITS-252	M	CONV	SO2	Madrid	T2	672	40.0997	-3.390333	Tempranillo	1111	3.74	170.77	24	41	1.21	0.52	6.23	0.08	8000	44000000	32	0.538072372	3.037939463
ITS-57	M	ECO	Control	Madrid	T0	0	40.1161245	-3.372384	Tempranillo	1107	3.51	259.86	55	70	1.05	0	0	0	NA	80000000	34	0.498401354	2.834518765
ITS-129	M	ECO	Control	Madrid	T1	360	40.1161246	-3.3723841	Tempranillo	1107	3.51	175.82	12	29	0.57	0.67	7.56	0.79	372000	80000000	34	0.498401354	2.834518765
ITS-200	M	ECO	Control	Madrid	T2	648	40.1161247	-3.3723842	Tempranillo	1107	3.51	160.78	60	16	0.43	0.63	7.62	1.25	435000	80000000	34	0.498401354	2.834518765
ITS-75	M	ECO	18C	Madrid	T0	0	40.1161248	-3.3723843	Tempranillo	1107	3.51	251.43	60	72	1.05	0	0	0	NA	52000000	28	0.366144984	3.475522031
ITS-147	M	ECO	18C	Madrid	T1	364	40.1161249	-3.3723844	Tempranillo	1107	3.51	174.17	42	19	0.48	0.62	8.34	0.71	27200000	52000000	28	0.366144984	3.475522031
ITS-217	M	ECO	18C	Madrid	T2	480	40.116125	-3.3723845	Tempranillo	1107	3.51	169.57	72	12	0.39	0.58	8.32	0.63	2420000	52000000	28	0.366144984	3.475522031
ITS-93	M	ECO	NH4	Madrid	T0	0	40.1161254	-3.3723849	Tempranillo	1107	3.51	271.9	373	98	1.09	0	0	0	NA	42800000	35	0.477326969	2.764351272
ITS-164	M	ECO	NH4	Madrid	T1	360	40.1161255	-3.372385	Tempranillo	1107	3.51	168.79	295	56	0.32	0.68	7.41	1.08	598000	42800000	35	0.477326969	2.764351272
ITS-234	M	ECO	NH4	Madrid	T2	624	40.1161256	-3.3723851	Tempranillo	1107	3.51	152.27	232	42	0.29	0.65	7.88	1.68	82000	42800000	35	0.477326969	2.764351272
ITS-111	M	ECO	SO2	Madrid	T0	0	40.1161251	-3.3723846	Tempranillo	1107	3.51	263.37	59	73	1.07	0	0	0	NA	48000000	33	0.500339737	2.943547045
ITS-182	M	ECO	SO2	Madrid	T1	216	40.1161252	-3.3723847	Tempranillo	1107	3.51	198.47	57	41	1.04	0.56	5.41	0.04	12600000	48000000	33	0.500339737	2.943547045
ITS-253	M	ECO	SO2	Madrid	T2	360	40.1161253	-3.3723848	Tempranillo	1107	3.51	172.14	26	35	0.88	0.6	7.17	0.04	510000	48000000	33	0.500339737	2.943547045
ITS-64	R1	CONV	Control	La Rioja	T0	0	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	236.01	65	74	1.24	0	0	0	15900	48800000	31	0.89265888	3.072044587
ITS-136	R1	CONV	Control	La Rioja	T1	120	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	157.59	51	30	1.14	0.27	4.54	0.02	21400000	48800000	31	0.89265888	3.072044587
ITS-207	R1	CONV	Control	La Rioja	T2	576	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	0.18	16	25	1.17	0.37	7.47	0.07	20300000	48800000	31	0.89265888	3.072044587
ITS-82	R1	CONV	18C	La Rioja	T0	0	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	241.85	63	75	1.18	0	0	0	2200	80000000	34	0.381886477	2.868104138
ITS-154	R1	CONV	18C	La Rioja	T1	240	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	162.07	69	13	1.26	0.28	5.21	0.02	100000000	80000000	34	0.381886477	2.868104138
ITS-224	R1	CONV	18C	La Rioja	T2	432	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	114.13	69	17	1.02	0.4	5.88	0.03	5060000	80000000	34	0.381886477	2.868104138
ITS-100	R1	CONV	NH4	La Rioja	T0	0	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	218.26	365	98	1.09	0	0	0	3760	80000000	27	0.582045172	3.597108362
ITS-171	R1	CONV	NH4	La Rioja	T1	120	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	163.05	439	59	1.41	0.33	4.77	0.03	21800000	80000000	27	0.582045172	3.597108362
ITS-241	R1	CONV	NH4	La Rioja	T2	456	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	103.77	230	55	1.09	0.4	5.41	0.4	390000	80000000	27	0.582045172	3.597108362
ITS-118	R1	CONV	SO2	La Rioja	T0	0	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	234.5	64	76	1.17	0	0	0	2140	76000000	19	1.013817349	5.068582061
ITS-189	R1	CONV	SO2	La Rioja	T1	144	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	145.84	23	24	1.06	0.17	5.82	4.64	59400000	76000000	19	1.013817349	5.068582061
ITS-259	R1	CONV	SO2	La Rioja	T2	336	p-alfa-12	p-alfa-12	Tempranillo	1092	3.44	72.27	28	24	0.86	0.33	7.52	5.27	626000	76000000	19	1.013817349	5.068582061
ITS-63	R1	ECO	Control	La Rioja	T0	0			Tempranillo	1095	3.48	242.36	16	41	2.37	0	0	0	0	48000000	19	0.629668498	5.083836357
ITS-135	R1	ECO	Control	La Rioja	T1	96			Tempranillo	1095	3.48	157.15	23	5	1.95	0.08	6.18	8.51	37900000	48000000	19	0.629668498	5.083836357
ITS-206	R1	ECO	Control	La Rioja	T2	336			Tempranillo	1095	3.48	86.5	13	23	1.52	0.29	7.26	9.07	2570000	48000000	19	0.629668498	5.083836357
ITS-81	R1	ECO	18C	La Rioja	T0	0			Tempranillo	1095	3.48	245.46	18	42	2.37	0	0	0	0	92000000	42	0.388098318	2.298200435
ITS-153	R1	ECO	18C	La Rioja	T1	168			Tempranillo	1095	3.48	170.34	16	6	2.14	0.1	4.76	3.85	43800000	92000000	42	0.388098318	2.298200435
ITS-223	R1	ECO	18C	La Rioja	T2	600			Tempranillo	1095	3.48	77.68	18	21	1.14	0.43	6.33	4.38	31100000	92000000	42	0.388098318	2.298200435
ITS-99	R1	ECO	NH4	La Rioja	T0	0			Tempranillo	1095	3.48	230.35	301	59	2.38	0	0	0	0	64000000	19	1.061455883	5.0962806
ITS-170	R1	ECO	NH4	La Rioja	T1	72			Tempranillo	1095	3.48	152.73	142	61	1.73	0.21	5.72	11.55	47000000	64000000	19	1.061455883	5.0962806
ITS-240	R1	ECO	NH4	La Rioja	T2	312			Tempranillo	1095	3.48	93.36	107	44	1.37	0.29	5.8	11.61	12000	64000000	19	1.061455883	5.0962806
ITS-117	R1	ECO	SO2	La Rioja	T0	0			Tempranillo	1095	3.48	242.02	15	42	2.35	0	0	0	0	120000000	19	0.684637551	5.068666872
ITS-188	R1	ECO	SO2	La Rioja	T1	120			Tempranillo	1095	3.48	153.68	24	6	1.97	0.08	6.23	8.42	44800000	120000000	19	0.684637551	5.068666872
