Seq_ID	Origin	Farming	Condition	Sample_ID	Region	Time	Latitude	Longitude	Variety	Collection_date	Density	pH	Ammonia	Sugars	Malic_acid	PAN
ITS-85	R3A	Eco	18C	R3A-Eco-18C	Rioja	0_initial	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	40	247.39	2.05	51
ITS-103	R3A	Eco	NH4	R3A-Eco-NH4	Rioja	0_initial	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	374	217.63	1.94	67
ITS-121	R3A	Eco	SO2	R3A-Eco-SO2	Rioja	0_initial	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	40	242.18	1.91	49
ITS-70	R3B	Conv	Control	R3B-Conv-Control	Rioja	0_initial	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	34	235.45	1.86	51
ITS-88	R3B	Conv	18C	R3B-Conv-18C	Rioja	0_initial	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	42	238.13	1.64	50
ITS-106	R3B	Conv	NH4	R3B-Conv-NH4	Rioja	0_initial	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	333	219.21	1.75	69
ITS-124	R3B	Conv	SO2	R3B-Conv-SO2	Rioja	0_initial	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	35	235.71	1.71	53
ITS-69	R3B	Eco	Control	R3B-Eco-Control	Rioja	0_initial	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	16	243.58	1.71	28
ITS-87	R3B	Eco	18C	R3B-Eco-18C	Rioja	0_initial	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	9	232.69	1.88	30
ITS-105	R3B	Eco	NH4	R3B-Eco-NH4	Rioja	0_initial	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	332	214.45	1.88	87
ITS-123	R3B	Eco	SO2	R3B-Eco-SO2	Rioja	0_initial	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	14	234.13	1.9	31
ITS-72	R3C	Conv	Control	R3C-Conv-Control	Rioja	0_initial	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	9	244.82	1.69	41
ITS-90	R3C	Conv	18C	R3C-Conv-18C	Rioja	0_initial	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	36	242.17	1.86	46
ITS-108	R3C	Conv	NH4	R3C-Conv-NH4	Rioja	0_initial	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	313	226.04	1.99	68
ITS-126	R3C	Conv	SO2	R3C-Conv-SO2	Rioja	0_initial	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	20	238.85	1.91	48
ITS-71	R3C	Eco	Control	R3C-Eco-Control	Rioja	0_initial	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	9	245.57	1.61	37
ITS-89	R3C	Eco	18C	R3C-Eco-18C	Rioja	0_initial	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	30	249.73	1.74	44
ITS-107	R3C	Eco	NH4	R3C-Eco-NH4	Rioja	0_initial	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	334	237.62	1.71	58
ITS-125	R3C	Eco	SO2	R3C-Eco-SO2	Rioja	0_initial	42.12286064	-1.886675892	Tempranillo	02/09/2020	1098	3.57	5	246.46	1.83	38
ITS-56	RdG	Conv	Control	RdG-Conv-Control	Ribera del Guadiana	0_initial	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	162	235.91	0.43	168
