Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-84	R2	CONV	18C	0_initial	0	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0	36	248.4	0	0	1.76	53	NA	NA	NA	NA	NA	4.48E+03	4.00E+07	33	0.485506799	0.12	144	Rioja
ITS-102	R2	CONV	NH4	0_initial	0	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0	342	227.08	0	0	1.96	75	NA	NA	NA	NA	NA	5.42E+03	4.00E+07	19	0.658515571	0.15	144	Rioja
ITS-120	R2	CONV	SO2	0_initial	0	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0	39	243.18	0	0	2.08	55	NA	NA	NA	NA	NA	1.92E+03	4.92E+07	20	0.642884973	0.21	96	Rioja
ITS-65	R2	ECO	Control	0_initial	0	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0	7	245.52	0	0	1.5	34	NA	NA	NA	NA	NA	0.00E+00	4.00E+07	31	0.61878313	0.1	96	Rioja
ITS-83	R2	ECO	18C	0_initial	0	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0	13	263.95	0	0	1.48	35	NA	NA	NA	NA	NA	0.00E+00	3.16E+07	40	0.422908601	0.07	264	Rioja
ITS-101	R2	ECO	NH4	0_initial	0	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0	316	238.08	0	0	1.61	51	NA	NA	NA	NA	NA	0.00E+00	4.00E+07	19	0.850932951	0.17	144	Rioja
ITS-119	R2	ECO	SO2	0_initial	0	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0	18	249.16	0	0	1.5	34	NA	NA	NA	NA	NA	0.00E+00	2.00E+07	31	0.421685396	0.1	312	Rioja
ITS-68	R3A	CONV	Control	0_initial	0	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0	16	254.82	0	0	2.17	49	NA	NA	NA	NA	NA	4.00E+01	9.20E+07	40	0.420768992	0.1	96	Rioja
ITS-86	R3A	CONV	18C	0_initial	0	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0	22	246.38	0	0	2.19	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Rioja
ITS-104	R3A	CONV	NH4	0_initial	0	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0	323	233.44	0	0	2.34	67	NA	NA	NA	NA	NA	1.48E+03	8.00E+07	24	1.085667553	0.14	144	Rioja
