Sample_ID	Origin	Farming	Condition	Region	Stage	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	Ethyl.acetate	Fusel.alcohol.acetates	Fusel.alcohols	EEFA	SCFA	MCFA
R2-ECO-SO2	R2	ECO	SO2	Rioja	3_end	0.23	11	106.83	7.46	5.73	1.28	21	8.42	0.37	0.27	1.44	3	87.611	33.266	735.078	0.000	2.724	4.793
R3A-CONV-Control	R3A	CONV	Control	Rioja	3_end	0.25	6	72.05	8.75	0.76	1.46	24	11.21	0.5	0.12	2.21	3.38	6.494	0.167	60.238	1.751	2.965	10.063
R3A-CONV-18C	R3A	CONV	18C	Rioja	3_end	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.823	1.012	595.278	17.982	0.000	16.373
R3A-CONV-NH4	R3A	CONV	NH4	Rioja	3_end	0.32	201	87.13	6.3	8.14	1.5	35	9.86	0	0.15	0.7	3.2	5.735	0.932	119.061	17.080	0.000	5.673
R3A-CONV-SO2	R3A	CONV	SO2	Rioja	3_end	0.27	14	99.06	7.26	0.07	2.29	16	8.97	0.06	0.29	1.59	3.21	6.308	0.325	199.098	2.498	3.957	5.181
R3A-ECO-Control	R3A	ECO	Control	Rioja	3_end	0.24	11	102.05	5.82	8.87	1.12	25	8.64	0.4	0.04	1.05	2.99	88.312	114.225	659.006	0.000	0.280	4.383
R3A-ECO-18C	R3A	ECO	18C	Rioja	3_end	0.31	18	96.24	6.17	9.52	0.99	12	9.1	0.19	0	1.07	2.98	31.540	43.254	491.444	0.000	0.000	4.034
R3A-ECO-NH4	R3A	ECO	NH4	Rioja	3_end	0.42	227	92.4	5.59	0.72	1.9	39	9.61	0.64	0	0.33	3.56	32.666	10.909	167.204	0.000	0.000	3.847
R3A-ECO-SO2	R3A	ECO	SO2	Rioja	3_end	0.28	15	98.5	7.01	14.38	1.12	22	8.46	0	0	1.1	2.78	11.828	57.354	373.215	0.000	0.000	0.900
R3B-CONV-Control	R3B	CONV	Control	Rioja	3_end	0.55	8	18.56	9.48	3.54	1.23	19	13.56	0.3	0	1.61	3.13	23.048	10.844	349.017	0.000	2.136	11.195
R3B-CONV-18C	R3B	CONV	18C	Rioja	3_end	0.25	8	85.24	6.61	3.62	1.2	23	NA	NA	NA	NA	NA	40.551	12.077	336.870	0.000	0.214	7.421
R3B-CONV-NH4	R3B	CONV	NH4	Rioja	3_end	0.22	201	94.94	5.92	12.06	1.15	52	8.63	0	0.07	0.21	2.92	35.483	45.585	329.678	0.000	0.375	2.432
R3B-CONV-SO2	R3B	CONV	SO2	Rioja	3_end	0.23	12	90.14	8.11	8.11	1.38	29	9.35	0.86	0.06	1.6	3.03	15.244	12.817	283.770	0.000	1.190	1.500
R3B-ECO-Control	R3B	ECO	Control	Rioja	3_end	0.24	8	114.52	6.06	10.56	1.34	19	7.8	0.43	0.02	1.32	3.13	2.589	12.856	75.697	0.000	5.916	3.761
